,微博数,关注数,粉丝数,introduction,是否认证,点赞数,评论数,是否包含特殊符号,sentiment,negative_prob,abnormal
1545,24980,135,870000,1,1,0,0,1,0.647508,0.158621,0
1546,13859,177,10000,1,1,1,0,0,-0.794627,0.907582,0
1547,112999,481,2030,1,1,1,0,0,-0.979975,0.990989,0
1548,29308,1236,1712,1,1,5,2,1,0.999908,4.12937e-05,0
1549,386,775,405,1,0,0,0,0,0.999438,0.000252935,0
1550,2001,578,133,1,0,0,0,1,-0.995155,0.99782,0
1551,56,77,20,1,0,0,0,0,0.999605,0.000177553,0
1552,17,132,1,0,0,324,18,1,-0.999905,0.999957,0
1553,244236,431,1849000,1,1,95,33,1,0.331355,0.30089,0
1554,136412,703,3887000,1,1,0,0,1,0.972797,0.0122414,0
1555,248133,1758,104000000,1,1,42,20,1,0.693282,0.138023,0
1556,118160,574,2907000,1,1,5,3,1,0.626073,0.168267,0
1557,151136,1932,95474000,1,1,130,26,1,-0.536968,0.791635,0
1558,199073,1237,35924000,1,1,167,21,1,0.999538,0.000207731,0
1559,41036,200,1314000,1,1,6,2,1,-0.999258,0.999666,0
1560,523644,5538,2396000,1,1,10,9,1,-0.991481,0.996167,0
1561,42938,311,6538000,1,1,2,0,1,-0.82409,0.920841,0
1562,82611,136,6020000,1,1,4,0,1,0.754778,0.11035,0
1563,106747,1722,10642000,0,1,0,0,1,-0.430232,0.743604,0
1564,14763,694,11000,1,1,37,0,1,-0.745677,0.885555,0
1565,30877,951,188000,1,1,310,3,1,0.0,0.630237,0
1566,50,133,137,1,0,24,1,1,0.994189,0.00261502,0
1567,622,85,16,1,0,0,0,0,-0.928008,0.967604,0
1568,403,651,23,1,0,0,0,0,-0.72646,0.876907,0
1569,1965,24,145,1,0,0,0,1,-0.608735,0.823931,0
1570,18430,506,2304,1,1,0,0,0,0.937004,0.0283481,0
1571,32875,2878,212000,1,1,1,0,1,0.952011,0.0215951,0
1572,30790,636,1257,1,1,1,0,0,-0.878929,0.945518,0
1573,16192,1902,12000,1,1,0,0,1,0.999496,0.000227026,0
1574,474,380,1149,1,0,0,1,0,0.999849,6.7913e-05,0
1575,851,238,10000,1,0,1,0,1,-0.532939,0.789823,0
1576,24966,244,1913,1,0,0,0,0,-0.717481,0.872867,0
1577,2815,415,473,1,0,0,0,1,0.0,0.477484,0
1578,50,22,3,0,0,1,2,0,0.997625,0.00106875,0
1579,259,182,16,1,0,0,0,1,0.993854,0.00276582,0
1580,1122,85,61,1,0,0,0,0,0.945622,0.0244701,0
1581,12734,107,183000,1,1,248,59,1,0.0,0.564416,0
1582,3400,59,1616000,1,1,2337,188,1,0.0,0.494264,0
1583,21443,1997,3029000,1,1,185,37,0,0.78208,0.0980641,0
1584,59657,1190,667000,1,1,455,90,1,-0.558126,0.801157,0
