微博数,关注数,粉丝数,introduction,是否认证,点赞数,评论数,是否包含特殊符号,positive_prob,sentiment,confidence,negative_prob,abnormal
1690,229,571,1,0,2,0,0,0.900628,2,0.779173,0.0993723,0
1282,225,42,1,0,6,0,1,0.744979,2,0.433286,0.255021,0
1,61,2,0,0,17,0,1,0.000142928,0,0.999682,0.999857,0
2438,29,219,1,0,3,0,1,0.00375084,0,0.991665,0.996249,0
15144,148,2639,1,1,7,8,1,0.994913,2,0.988695,0.00508726,0
7,201,3,0,0,9,0,0,0.0183242,0,0.95928,0.981676,0
104442,303,14846000,1,1,10,1,1,0.929669,2,0.843709,0.0703309,0
638,188,11,1,0,8,0,1,0.0194081,0,0.956871,0.980592,0
117458,712,30929000,1,1,19,0,1,0.574448,2,0.0543295,0.425552,0
82197,16622,56000,1,0,3,0,0,0.998903,2,0.997563,0.00109687,0
89989,832,707000,1,1,39,2,1,0.0139297,0,0.969045,0.98607,0
168548,1750,13393000,1,1,3,0,1,0.999896,2,0.999769,0.00010394,0
980,1190,21,0,0,4,0,0,0.99581,2,0.99069,0.00418963,0
